t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613570916792,0.1875,1,0.0625,-2.06,0.17,13.62,-69.0625,69.6875,-48.0625,-0.00666667,-0.0255556,0.0122222
1613570916900,0.1875,1,0.0625,-0.21,0.85,9.44,-68.375,68.6875,-47,0.00444444,-0.0288889,-0.00222222
1613570917003,0.1875,1,0.0625,-3.37,0.98,17.02,-69.375,69.375,-47,-0.00111111,0.0366667,-0.0122222
1613570917110,0.1875,1.0625,0.0625,-1.77,1.24,15.15,-69.375,69.375,-47,-0.00222222,0.0144444,-0.00333333
1613570917213,0.1875,1.0625,0.0625,-3.2,1,18.38,-69.0625,69.375,-46.1875,-0.00111111,-0.0233333,0.01
1613570917316,0.25,1.0625,0.0625,2.05,-0.08,2.22,-69.375,69.375,-46.5625,0.00666667,0.0211111,-0.01
1613570917419,0.1875,1.125,0.0625,-2.26,0.22,16.06,-69.75,68.25,-47.375,-0.00222222,0.00222222,-0.00222222
1613570917523,0.25,1.125,0.0625,-3.2,0.83,17.33,-69.0625,68.6875,-49.5625,-0.01,-0.0388889,0.00666667
1613570917626,0.25,1.125,0.0625,-0.75,-0.6,9.81,-69.75,68.25,-49.1875,-0.00333333,-0.0311111,0.00222222
1613570917729,0.25,1.125,0.0625,-1.77,1.22,11.96,-68.75,68.6875,-46.5625,-0.00333333,0.0366667,-0.0155556
1613570917833,0.25,1.1875,0.0625,1.59,-0.84,4.16,-69.0625,68.25,-47.6875,-0.00888889,0.0233333,-0.00777778
1613570917936,0.25,1.125,0.0625,1.54,0.16,2.16,-67.25,69.6875,-48.0625,-0.00111111,-0.0322222,0.0111111
1613570918043,0.25,1.125,0.0625,1.98,-0.42,0.71,-69.0625,69.375,-47.375,0.01,0.0511111,-0.0111111
1613570918146,0.25,1.1875,0.0625,0.47,0.42,8.85,-69.0625,68.6875,-48.75,0.01,0.0233333,-0.0122222
1613570918254,0.3125,1.1875,0.0625,0.19,-0.51,8.5,-69.0625,69.6875,-47.375,-0.00333333,-0.0177778,0.00888889
1613570918357,0.3125,1.25,0.0625,2.28,-0.97,0.95,-69.0625,69.6875,-48.0625,-0.00666667,-0.0433333,0.0155556
1613570918465,0.3125,1.25,0.0625,-3.32,0.78,17.5,-68.75,69.6875,-47.375,0.00111111,-0.0155556,0.00444444
1613570918568,0.3125,1.25,0.0625,-0.57,-0.36,9.04,-69.0625,68.25,-48.375,0.00888889,0.02,-0.01
1613570918672,0.3125,1.25,0.0625,-2.32,-0.08,15.37,-68.75,68.6875,-47.375,-0.00666667,-0.0266667,0.00777778
1613570918775,0.3125,1.25,0.0625,0.51,0.49,6.08,-69.0625,69.0625,-48.0625,-0.00111111,-0.0177778,0.00222222
1613570918881,0.3125,1.25,0.125,-2.53,1.14,15.71,-68.375,68.25,-47.6875,0.00666667,0.0155556,-0.00555556
1613570918987,0.3125,1.3125,0.125,2.07,-0.86,0.51,-69.375,68.25,-47,-0.00222222,0.0355556,-0.00666667
1613570919090,0.3125,1.3125,0.125,1.21,0.21,4.38,-69.75,67.875,-48.0625,-0.0122222,-0.00555556,0.00444444
1613570919197,0.3125,1.375,0.125,2.61,-0.39,2.09,-69.0625,68.25,-47.375,0.01,-0.0255556,0.00666667
