t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613558728233,0,-3.625,-2.9375,-0.61,0.5,9.69,-65.0625,81.5,-49.6875,0,0,0.00111111
1613558728340,0,-3.625,-2.9375,-0.63,0.52,9.69,-65.0625,80.75,-50.0625,0.00111111,-0.00222222,0
1613558728448,0,-3.625,-2.9375,-0.61,0.49,9.67,-64.75,81.5,-49.6875,0,0.00222222,0.00111111
1613558728553,0,-3.625,-2.9375,-0.6,0.52,9.69,-64,81.5,-49.0625,0.00222222,-0.00333333,0
1613558728661,0,-3.625,-2.9375,-0.61,0.5,9.69,-64.375,81.875,-49.0625,0,-0.00222222,0
1613558728766,0,-3.625,-2.9375,-0.61,0.51,9.71,-64,81.0625,-49.375,0.00111111,-0.00111111,0.00111111
1613558728872,0,-3.625,-2.9375,-0.62,0.49,9.7,-64.375,82.5625,-49.375,0.00111111,0.00111111,-0.00111111
1613558728981,0,-3.625,-2.9375,-0.63,0.5,9.7,-64,82.5625,-49.375,0,0.00222222,-0.00111111
1613558729085,0,-3.625,-2.9375,-0.62,0.51,9.7,-64.75,81.5,-49.6875,0,0.00111111,0
1613558729193,0,-3.625,-2.9375,-0.6,0.52,9.68,-64.75,82.1875,-49.6875,-0.00111111,0,0
1613558729300,0,-3.625,-2.9375,-0.61,0.49,9.68,-64,81.875,-50.0625,-0.00111111,0.00111111,-0.00111111
1613558729406,0,-3.625,-2.9375,-0.61,0.51,9.69,-63.5625,82.1875,-50.0625,0,0,0
1613558729514,0,-3.625,-2.9375,-0.61,0.51,9.69,-64.375,81.0625,-50.5,0.00111111,-0.00111111,0
1613558729619,0,-3.625,-2.9375,-0.6,0.49,9.68,-64.75,81.875,-49.6875,0.00111111,0.00333333,-0.00111111
1613558729725,0,-3.625,-2.9375,-0.62,0.49,9.68,-64,81.875,-50.5,0.00333333,0.00222222,0
1613558729834,0,-3.625,-2.9375,-0.62,0.51,9.69,-64.375,81.0625,-49.375,-0.00111111,0,0.00222222
1613558729938,0,-3.625,-2.9375,-0.62,0.51,9.69,-64.375,81.5,-49.375,0.00111111,0.00222222,0.00222222
1613558730045,0,-3.625,-2.9375,-0.62,0.49,9.7,-64,81.875,-49.0625,0.00111111,0,-0.00111111
1613558730149,0,-3.625,-2.9375,-0.61,0.5,9.67,-64.75,81.875,-50.5,0.00111111,0.00222222,0.00333333
1613558730256,0,-3.625,-2.9375,-0.6,0.51,9.68,-64,81.5,-50.875,0,0,0.00222222
1613558730359,0,-3.625,-2.9375,-0.61,0.52,9.67,-64.375,81.875,-50.5,0.00111111,0.00111111,-0.00111111
1613558730465,0,-3.625,-2.9375,-0.62,0.5,9.67,-65.5,82.1875,-49.6875,-0.00111111,-0.00111111,0.00111111
1613558730569,0,-3.625,-2.9375,-0.63,0.5,9.69,-65.0625,81.5,-48.6875,0.00222222,0.00111111,0
1613558730673,0,-3.625,-2.9375,-0.62,0.52,9.68,-64,81.5,-50.0625,0.00111111,-0.00111111,0.00222222
1613558730779,0,-3.625,-2.9375,-0.62,0.51,9.69,-64,81.5,-50.0625,0.00222222,0.00111111,-0.00111111
1613558730886,0,-3.625,-2.9375,-0.62,0.5,9.72,-64.375,81.0625,-48.6875,0.00111111,0,-0.00111111
1613558730991,0,-3.625,-2.9375,-0.62,0.49,9.7,-64.375,81.5,-50.0625,0.00111111,0.00111111,0
1613558731098,0,-3.625,-2.9375,-0.61,0.5,9.68,-64.375,81.5,-49.6875,0,-0.00111111,0.00111111
1613558731202,0,-3.625,-2.9375,-0.63,0.51,9.67,-65.0625,81.875,-48.6875,0.00222222,-0.00111111,0
1613558731310,0,-3.625,-2.9375,-0.61,0.5,9.67,-64.375,81.5,-49.0625,0,0.00222222,0.00222222
1613558731414,0,-3.625,-2.9375,-0.61,0.51,9.69,-64.75,81.0625,-49.0625,0.00111111,-0.00111111,-0.00222222
1613558731521,0,-3.625,-2.9375,-0.61,0.5,9.7,-64,81.875,-50.0625,-0.00111111,-0.00222222,0
1613558731625,0,-3.625,-2.9375,-0.61,0.52,9.69,-64.75,81.0625,-49.6875,0,-0.00111111,0.00111111
1613558731731,0,-3.625,-2.9375,-0.61,0.47,9.7,-65.0625,81.5,-49.6875,-0.00111111,0.00111111,-0.00111111
1613558731835,0,-3.625,-2.9375,-0.61,0.5,9.69,-65.0625,81.0625,-49.6875,0,-0.00333333,0.00222222
1613558731942,0,-3.625,-2.9375,-0.63,0.5,9.69,-64,81.5,-49.375,0,-0.00222222,0
1613558732047,0,-3.625,-2.9375,-0.62,0.5,9.69,-64.75,81.875,-49.0625,0,0,0
1613558732154,0,-3.625,-2.9375,-0.62,0.5,9.66,-64.75,82.1875,-49.6875,0.00111111,0,-0.00222222
1613558732260,0,-3.625,-2.9375,-0.61,0.51,9.68,-64,81.875,-50.875,0,0,0
1613558732365,0,-3.625,-2.9375,-0.62,0.49,9.68,-65.0625,82.1875,-50.0625,0,-0.00111111,0.00111111
1613558732472,0,-3.625,-2.9375,-0.62,0.5,9.67,-63.5625,82.5625,-50.875,0.00333333,0.00111111,0.00111111
1613558732576,0,-3.625,-2.9375,-0.62,0.5,9.68,-64.375,81.5,-49.375,-0.00222222,0.00111111,0.00222222
1613558732680,0,-3.625,-2.9375,-0.63,0.51,9.7,-64.75,81.875,-49.6875,0,0,0.00111111
1613558732786,0,-3.625,-2.9375,-0.62,0.5,9.69,-64.375,81.5,-49.6875,0,-0.00111111,0
1613558732893,0,-3.625,-2.9375,-0.62,0.48,9.69,-64,81.5,-49.6875,-0.00111111,0,-0.00111111
1613558732998,0,-3.625,-2.9375,-0.61,0.51,9.7,-64,81.875,-49.375,0,-0.00111111,-0.00111111
1613558733105,0,-3.625,-2.9375,-0.61,0.5,9.68,-64.75,81.5,-49.375,0.00111111,0.00333333,-0.00111111
1613558733209,0,-3.625,-2.9375,-0.62,0.52,9.65,-65.0625,81.5,-50.5,-0.00222222,0.00333333,0
1613558733317,0,-3.625,-2.9375,-0.62,0.5,9.68,-65.0625,81.0625,-50.0625,-0.00222222,-0.00111111,0.00111111
1613558733421,0,-3.625,-2.9375,-0.61,0.49,9.69,-63.5625,81.0625,-50.0625,-0.00222222,0,-0.00111111
1613558733528,0,-3.625,-2.9375,-0.61,0.51,9.68,-64.375,81.0625,-50.5,0,0.00222222,0.00111111
1613558733632,0,-3.625,-2.9375,-0.61,0.5,9.7,-64,81.0625,-48.6875,0,0,0
1613558733738,0,-3.625,-2.9375,-0.61,0.49,9.69,-64.75,81.5,-50.0625,0.00111111,0.00111111,-0.00111111
1613558733842,0,-3.625,-2.9375,-0.62,0.5,9.7,-64.375,81.875,-50.0625,0,0.00111111,-0.00222222
1613558733949,0,-3.625,-2.9375,-0.62,0.49,9.68,-64.375,81.0625,-49.0625,0,0,0.00111111
1613558734054,0,-3.625,-2.9375,-0.62,0.52,9.68,-63.5625,81.875,-50.0625,0.00333333,-0.00222222,0
1613558734161,0,-3.625,-2.9375,-0.6,0.5,9.69,-64.375,81.875,-50.0625,0.00222222,0.00222222,-0.00111111
1613558734267,0,-3.625,-2.9375,-0.62,0.51,9.68,-65.0625,82.1875,-49.375,-0.00222222,-0.00222222,0.00111111
1613558734372,0,-3.625,-2.9375,-0.63,0.49,9.68,-65.5,81.0625,-49.6875,0,0.00222222,-0.00111111
